"WC_ID";"WC_Text";"WC_luecken"
"1";"""Tweeting.""";"0"
"2";"(I am doing Kegels right now.)";"0"
"3";"10,000 Syrian refugees.";"0"
"4";"100% Pure New Zealand.";"0"
"5";"2 Girls 1 Cup.";"0"
"6";"400 years of colonial atrocities.";"0"
"7";"50 mg of Zoloft daily.";"0"
"8";"50,000 volts straight to the nipples.";"0"
"9";"72 virgins.";"0"
"10";"8 oz. of sweet Mexican black-tar heroin.";"0"
"11";"A bag of magic beans.";"0"
"12";"A balanced breakfast.";"0"
"13";"A ball of earwax, semen, and toenail clippings.";"0"
"14";"A big black dick.";"0"
"15";"A big hoopla about nothing.";"0"
"16";"A bird that shits human turds.";"0"
"17";"A bit of slap and tickle.";"0"
"18";"A bitch slap.";"0"
"19";"A bleached arsehole.";"0"
"20";"A bleached asshole.";"0"
"21";"A Bop It???.";"0"
"22";"A bowl of mayonnaise and human teeth.";"0"
"23";"A brain tumor.";"0"
"24";"A brain tumour.";"0"
"25";"A bucket of fish heads.";"0"
"26";"A can of whoop-ass.";"0"
"27";"A caress of the inner thigh.";"0"
"28";"A cartoon camel enjoying the smooth, refreshing taste of a cigarette.";"0"
"29";"A cat with... hands.";"0"
"30";"A cherry-wood spanking bench.";"0"
"31";"A Chinese tourist who wants something very badly but cannot communicate it.";"0"
"32";"A clandestine butt scratch.";"0"
"33";"A cooler full of organs.";"0"
"34";"A copy of Bedside Hitler.";"0"
"35";"A crucifixion.";"0"
"36";"A cute, fuzzy koala, but it has chlamydia.";"0"
"37";"A death ray.";"0"
"38";"A decent fucking Internet connection.";"0"
"39";"A defective condom.";"0"
"40";"A despondent Maple Leafs fan sitting all alone.";"0"
"41";"A didgeridildo.";"0"
"42";"A disappointing birthday party.";"0"
"43";"A drive-by shooting.";"0"
"44";"A fair go.";"0"
"45";"A falcon with a cap on its head.";"0"
"46";"A fanny fart.";"0"
"47";"A fart so powerful that it wakes the giants from their thousand-year slumber.";"0"
"48";"A fat bald man from the internet.";"0"
"49";"A fetus.";"0"
"50";"A five-litre goon bag.";"0"
"51";"A Fleshlight.";"0"
"52";"A Fleshlight??.";"0"
"53";"A foetus.";"0"
"54";"A foul mouth.";"0"
"55";"A fuck-ton of almonds.";"0"
"56";"A fuck-tonne of almonds.";"0"
"57";"A gassy antelope.";"0"
"58";"A gentle caress of the inner thigh.";"0"
"59";"A ginger's freckled ballsack.";"0"
"60";"A good sniff.";"0"
"61";"A good, strong gorilla.";"0"
"62";"A gossamer stream of jizz that catches the light as it arcs through the morning air.";"0"
"63";"A grande sugar-free iced soy caramel macchiato.";"0"
"64";"A Gypsy curse.";"0"
"65";"A hairless little shitstain named Callou.";"0"
"66";"A Halal Snack Pack.";"0"
"67";"A hen night in Slough.";"0"
"68";"A homoerotic volleyball montage.";"0"
"69";"A horde of Vikings.";"0"
"70";"A hot mess.";"0"
"71";"A Japanese tourist who wants something very badly but cannot communicate it.";"0"
"72";"A Japanese whaling operation.";"0"
"73";"A LAN party.";"0"
"74";"A lifetime of sadness.";"0"
"75";"A literal tornado of fire.";"0"
"76";"A little boy who won't shut the fuck up about dinosaurs.";"0"
"77";"A live studio audience.";"0"
"78";"A look-see.";"0"
"79";"A low standard of living.";"0"
"80";"A mad cow.";"0"
"81";"A madman who lives in a police box and kidnaps women.";"0"
"82";"A man of means by no means.";"0"
"83";"A man on the brink of orgasm.";"0"
"84";"A mating display.";"0"
"85";"A Mexican.";"0"
"86";"A micropenis.";"0"
"87";"A micropig wearing a tiny raincoat and booties.";"0"
"88";"A middle-aged man on roller skates.";"0"
"89";"A mime having a stroke.";"0"
"90";"A moment of silence.";"0"
"91";"A monkey smoking a cigar.";"0"
"92";"A mopey zoo lion.";"0"
"93";"A much younger woman.";"0"
"94";"A murder most foul.";"0"
"95";"A neglected Tamagotchi???.";"0"
"96";"A nice cup of tea.";"0"
"97";"A pangender octopus who roams the cosmos in search of love.";"0"
"98";"A pineapple with chlamydia.";"0"
"99";"A posh wank.";"0"
"100";"A prayer bouquet.";"0"
"101";"A pyramid of severed heads.";"0"
"102";"A really cool hat.";"0"
"103";"A robust mongoloid.";"0"
"104";"A sad god with a shit-covered pair of nipples.";"0"
"105";"A sad handjob.";"0"
"106";"A salad for men that's made of metal.";"0"
"107";"A salty surprise.";"0"
"108";"A sassy black woman.";"0"
"109";"A sausage festival.";"0"
"110";"A saxophone solo.";"0"
"111";"A sea of troubles.";"0"
"112";"A shark!";"0"
"113";"A sick burnout.";"0"
"114";"A sick wombat.";"0"
"115";"A sickly child-king.";"0"
"116";"A six-point plan to stop the boats.";"0"
"117";"A slab of VB and a pack of durries.";"0"
"118";"a slightly used tampon";"0"
"119";"A snapping turtle biting the tip of your penis.";"0"
"120";"A sober Irishman who doesn't care for potatoes.";"0"
"121";"A soggy Sao.";"0"
"122";"A spastic nerd.";"0"
"123";"A stingray barb through the chest.";"0"
"124";"A stray pube.";"0"
"125";"A subscription to Men's Fitness.";"0"
"126";"A Super Soaker??? full of cat pee.";"0"
"127";"A surprisingly low amount of prison rape.";"0"
"128";"A swift hoog to the face.";"0"
"129";"A thermonuclear detonation.";"0"
"130";"A thousand Scottish warriors lifting their kilts in unison.";"0"
"131";"A three-way with my wife and Shaquille O'Neal.";"0"
"132";"A Tim Hortons franchise.";"0"
"133";"A time travel paradox.";"0"
"134";"A tiny horse.";"0"
"135";"A tiny, gay guitar called a ukulele.";"0"
"136";"A tribe of warrior women.";"0"
"137";"A vagina that tastes like the bathroom floors at Tom's Diner.";"0"
"138";"A vajazzled vagina.";"0"
"139";"A vastly superior healthcare system.";"0"
"140";"A vindaloo poo.";"0"
"141";"A web of lies.";"0"
"142";"A wheelchair death race.";"0"
"143";"A white ethnostate.";"0"
"144";"A white van man.";"0"
"145";"A whole thing of butter.";"0"
"146";"A windmill full of corpses.";"0"
